method,train_window,eval_window,direction,accuracy,precision,recall,f1,source_file,run_ts
continual_lora,2023_M03-04,2022_M05-06,backward_5p,0.7343653250773994,0.7549361207897793,0.7488479262672811,0.7518796992481203,metrics_log.csv,
continual_lora,2023_M03-04,2022_M03-04,backward_6p,0.6883561643835616,0.7336561743341404,0.6502145922746781,0.689419795221843,metrics_log.csv,
continual_lora,2023_M05-06,2023_M07-08,forward,0.6692689850958127,0.6760925449871465,0.7108108108108108,0.6930171277997365,metrics_log.csv,
continual_lora,2023_M05-06,2023_M03-04,backward_1p,0.6801181102362205,0.7032136105860114,0.6888888888888889,0.695977549111319,metrics_log.csv,
continual_lora,2023_M05-06,2022_M11-12,backward_3p,0.7014218009478673,0.7277777777777777,0.7005347593582888,0.7138964577656676,metrics_log.csv,
continual_lora,2023_M05-06,2022_M07-08,backward_5p,0.6895734597156398,0.7112462006079028,0.6974664679582713,0.7042889390519187,metrics_log.csv,
continual_lora,2023_M05-06,2022_M05-06,backward_6p,0.7071207430340557,0.7221597300337458,0.7396313364055299,0.7307911212293683,metrics_log.csv,
continual_lora,2023_M07-08,2023_M09-10,forward,0.6641104294478528,0.6809116809116809,0.6907514450867052,0.6857962697274032,metrics_log.csv,
continual_lora,2023_M07-08,2023_M05-06,backward_1p,0.7175141242937854,0.7219512195121951,0.774869109947644,0.7474747474747475,metrics_log.csv,
continual_lora,2023_M07-08,2023_M01-02,backward_3p,0.6942307692307692,0.712430426716141,0.7020109689213894,0.7071823204419889,metrics_log.csv,
continual_lora,2023_M07-08,2022_M09-10,backward_5p,0.7180925666199158,0.720763723150358,0.7823834196891192,0.7503105590062111,metrics_log.csv,
continual_lora,2023_M07-08,2022_M07-08,backward_6p,0.6911532385466035,0.7258064516129032,0.6706408345752608,0.69713400464756,metrics_log.csv,
continual_lora,2023_M09-10,2023_M11-12,forward,0.6763590391908976,0.693034238488784,0.699642431466031,0.6963226571767497,metrics_log.csv,
continual_lora,2023_M09-10,2023_M07-08,backward_1p,0.7217885024840313,0.7219387755102041,0.7648648648648648,0.7427821522309711,metrics_log.csv,
continual_lora,2023_M09-10,2023_M03-04,backward_3p,0.6840551181102362,0.7077798861480076,0.6907407407407408,0.6991565135895033,metrics_log.csv,
continual_lora,2023_M09-10,2022_M11-12,backward_5p,0.6909952606635071,0.7238095238095238,0.6773618538324421,0.6998158379373849,metrics_log.csv,
continual_lora,2023_M09-10,2022_M09-10,backward_6p,0.7194950911640954,0.7246376811594203,0.7772020725388601,0.75,metrics_log.csv,
continual_lora,2023_M11-12,2024_M01-02,forward,0.6853932584269663,0.7053892215568862,0.6953955135773318,0.7003567181926278,metrics_log.csv,
continual_lora,2023_M11-12,2023_M09-10,backward_1p,0.7162576687116564,0.724233983286908,0.7514450867052023,0.7375886524822695,metrics_log.csv,
continual_lora,2023_M11-12,2023_M05-06,backward_3p,0.7153954802259888,0.7329032258064516,0.743455497382199,0.7381416504223521,metrics_log.csv,
continual_lora,2023_M11-12,2023_M01-02,backward_5p,0.6932692307692307,0.7175572519083969,0.6873857404021938,0.7021475256769374,metrics_log.csv,
continual_lora,2023_M11-12,2022_M11-12,backward_6p,0.6957345971563981,0.7222222222222222,0.6951871657754011,0.7084468664850136,metrics_log.csv,
continual_lora,2024_M01-02,2024_M03-04,forward,0.6633529145955717,0.6600476568705321,0.7238675958188153,0.6904860822600748,metrics_log.csv,
continual_lora,2024_M01-02,2023_M11-12,backward_1p,0.7231352718078382,0.743030303030303,0.7306317044100119,0.7367788461538461,metrics_log.csv,
continual_lora,2024_M01-02,2023_M07-08,backward_3p,0.7075940383250532,0.7081218274111675,0.754054054054054,0.7303664921465969,metrics_log.csv,
continual_lora,2024_M01-02,2023_M03-04,backward_5p,0.6860236220472441,0.7112810707456979,0.6888888888888889,0.6999059266227657,metrics_log.csv,
continual_lora,2024_M01-02,2023_M01-02,backward_6p,0.6923076923076923,0.7113594040968343,0.6983546617915904,0.7047970479704797,metrics_log.csv,
continual_lora,2024_M03-04,2024_M05-06,forward,0.6721698113207547,0.6740665993945509,0.7413984461709212,0.7061310782241015,metrics_log.csv,
continual_lora,2024_M03-04,2024_M01-02,backward_1p,0.737203495630462,0.7553956834532374,0.743801652892562,0.7495538370017847,metrics_log.csv,
continual_lora,2024_M03-04,2023_M09-10,backward_3p,0.7055214723926381,0.7305389221556886,0.7052023121387283,0.7176470588235294,metrics_log.csv,
continual_lora,2024_M03-04,2023_M05-06,backward_5p,0.7097457627118644,0.7510668563300142,0.6910994764397905,0.7198364008179959,metrics_log.csv,
continual_lora,2024_M03-04,2023_M03-04,backward_6p,0.6751968503937008,0.7151639344262295,0.6462962962962963,0.6789883268482491,metrics_log.csv,
continual_lora,2024_M05-06,2024_M07-08,forward,0.6695402298850575,0.6815020862308763,0.6796116504854369,0.6805555555555556,metrics_log.csv,
continual_lora,2024_M05-06,2024_M03-04,backward_1p,0.7582467239042024,0.7763751127141569,0.75,0.7629596809924679,metrics_log.csv,
continual_lora,2024_M05-06,2023_M11-12,backward_3p,0.7117572692793932,0.7523056653491436,0.6805721096543504,0.7146433041301627,metrics_log.csv,
continual_lora,2024_M05-06,2023_M07-08,backward_5p,0.7132718239886444,0.7485207100591716,0.6837837837837838,0.7146892655367232,metrics_log.csv,
continual_lora,2024_M05-06,2023_M05-06,backward_6p,0.7069209039548022,0.7730829420970265,0.6465968586387435,0.7042052744119743,metrics_log.csv,
continual_lora,2024_M07-08,2024_M09-10,forward,0.6644113667117727,0.6858638743455497,0.6717948717948717,0.6787564766839378,metrics_log.csv,
continual_lora,2024_M07-08,2024_M05-06,backward_1p,0.7128537735849056,0.721627408993576,0.7480577136514983,0.7346049046321526,metrics_log.csv,
continual_lora,2024_M07-08,2024_M01-02,backward_3p,0.7240948813982522,0.7566539923954373,0.704840613931523,0.7298288508557457,metrics_log.csv,
continual_lora,2024_M07-08,2023_M09-10,backward_5p,0.700920245398773,0.7214076246334311,0.7109826589595376,0.7161572052401747,metrics_log.csv,
continual_lora,2024_M07-08,2023_M07-08,backward_6p,0.6756564939673527,0.7024320457796852,0.6635135135135135,0.6824183460736623,metrics_log.csv,
continual_lora,2024_M09-10,2024_M11-12,forward,0.6657381615598886,0.6923076923076923,0.648,0.6694214876033058,metrics_log.csv,
continual_lora,2024_M09-10,2024_M07-08,backward_1p,0.7320402298850575,0.7514450867052023,0.7212205270457698,0.7360226468506723,metrics_log.csv,
continual_lora,2024_M09-10,2024_M03-04,backward_3p,0.7180298237686399,0.7471698113207547,0.6898954703832753,0.717391304347826,metrics_log.csv,
continual_lora,2024_M09-10,2023_M11-12,backward_5p,0.7048040455120101,0.7554945054945055,0.6555423122765197,0.7019783024888322,metrics_log.csv,
continual_lora,2024_M09-10,2023_M09-10,backward_6p,0.6932515337423313,0.7354838709677419,0.6589595375722543,0.6951219512195121,metrics_log.csv,
upper_baseline,2018_M01-02,2018_M03-04,forward,0.5659574468085107,0.6,0.5714285714285714,0.5853658536585366,metrics_log.csv,
